EVENT_AFECT,VARIEDAD,MET_SIEMB,CANT_SEM,CABALLONEO,NIVELACION,ARADO,TIPO_RIEGO,FRAC_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,CONTEO_HERB,CONTEO_INS_FUN,DENS_AP,CIC,pH,TEXTURA,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,HUM_REL_PROM,RAD_SOL_ACUM,MANEJO_RESID,REND
Otro,Fedearroz_67,Trasplante_manual,248.0,No,No,Si,Inundacion,3,96.0,47.0,27.0,3,0,1.34,18.9,5.5,FAr,351.0943841934204,23.439304512793814,31.891824760786925,56.64044931394245,2081178786.0,Ninguno,5.17
Altas_temperaturas,Otro,Trasplante_manual,225.0,No,Si,No,Inundacion,4,163.04000000000002,37.95,79.61,4,0,1.35,18.5,5.5,FAr,396.3170409202576,23.231923244310416,31.13646213697345,60.77931349381157,2171287271.0,Incorporados,3.35
Altas_temperaturas,Otro,Voleo_manual,280.0,Si,Si,No,Inundacion,4,239.0,90.0,132.5,1,3,1.36,16.5,5.5,FAr,459.49491238594055,23.47747136387252,31.68844498100625,56.72909227423712,2000135243.0,Incorporados,7.4
Altas_temperaturas,Otro,Trasplante_manual,300.0,No,No,Si,Inundacion,4,41.5,18.0,26.5,2,1,1.33,15.5,5.3,FAr,362.0152478218079,23.40912056354557,31.84362675830566,57.0308802826236,1897335388.0,Quemados,7.0
Altas_temperaturas,Otro,Voleo_manual,150.0,Si,No,No,Inundacion,3,91.5,9.0,9.0,2,1,1.34,17.9,5.3,FAr,339.2270681858063,23.050039075768478,30.414415309740097,64.73133733998175,1679979860.0,Incorporados,6.2
Otro,Otro,Voleo_manual,300.0,No,No,No,Inundacion,4,130.0,72.0,80.5,3,0,1.3,14.2,5.4,FAr,611.8126749992371,23.24174124865023,31.22597060785055,59.12277621757693,2253500789.0,Incorporados,5.58
Otro,Otro,Trasplante_manual,248.0,No,No,No,Inundacion,2,187.0,72.0,72.0,1,1,1.32,12.3,5.4,FAr,215.0412631034851,24.40289109547929,34.04765535990392,42.93142529328664,1900534959.0,Quemados,4.13
Helada,Otro,Trasplante_manual,250.0,No,No,Si,Inundacion,4,149.0,27.0,60.5,2,1,1.35,15.1,5.2,FAr,339.7215270996094,23.05328057330584,30.7454063083814,63.07339469246242,1691765810.0,Incorporados,6.44
Altas_temperaturas,Fedearroz_67,Voleo_mecanizado,233.33333333333331,No,No,No,Inundacion,1,27.0,27.0,27.0,1,1,1.37,17.8,5.5,FAr,298.09350669384,23.83487465054377,32.47523456648279,49.47986314810959,1887157256.0,Incorporados,5.0
Altas_temperaturas,Otro,Trasplante_manual,,No,No,No,Inundacion,1,59.0,36.0,36.0,1,0,1.37,19.3,5.5,FAr,467.9579656124115,22.462655800267235,28.627929045024626,72.15827375713148,1655075567.0,Quemados,7.3
Ninguno,Otro,Trasplante_manual,248.0,No,Si,Si,Inundacion,3,82.26,81.09,81.09,2,3,1.39,21.9,5.5,FAr,311.4758162498474,24.703677965931018,34.031811775128816,45.746417094751735,1895400037.0,Incorporados,6.88
Otro,Fedearroz_67,Trasplante_manual,186.0,No,Si,No,Inundacion,4,128.0,36.0,96.0,3,1,1.39,19.6,5.5,FAr,489.3459169864655,23.76135065342348,31.700169112042627,55.70765841104151,2217649374.0,Incorporados,6.25
Altas_temperaturas,Fedearroz_Ibis,Voleo_mecanizado,150.0,No,Si,No,Inundacion,4,129.1,58.5,84.0,2,2,1.35,18.5,5.5,FAr,366.6267137527466,23.460211772303374,31.867296575730784,56.38219901054136,2354916250.0,Incorporados,5.36
Altas_temperaturas,Fedearroz_67,Voleo_manual,248.0,No,Si,No,Inundacion,4,154.0,31.5,61.25,5,1,1.31,17.3,5.4,FAr,436.32002663612366,22.552614407579394,28.890970746208584,73.09168977497005,2157171322.0,Quemados,7.71
Otro,Fedearroz_Ibis,Voleo_manual,150.0,No,No,No,Inundacion,4,129.0,81.0,115.0,3,1,1.31,13.4,5.2,FAr,478.4899797439575,23.068162868333864,30.58324983016299,61.92355765467105,1628626915.0,Quemados,4.38
Ninguno,Otro,Voleo_manual,279.0,No,No,No,Inundacion,4,121.5,36.0,114.0,2,1,1.36,15.4,5.3,FAr,378.4188539981842,23.894529990544346,32.76639806353851,50.58539729648166,2413462640.0,Ninguno,5.94
Altas_temperaturas,Otro,Trasplante_manual,186.0,No,Si,No,Inundacion,1,41.42,18.03,18.03,1,1,1.3,21.6,5.5,FAr,362.7534136772156,23.939207098735977,32.829339103388534,50.13926578924908,2358937224.0,Ninguno,6.67
Sequía,Otro,Voleo_manual,125.0,No,No,No,Corrido,3,0.0,0.0,0.0,2,1,1.33,18.2,5.3,FAr,770.1089582443237,22.573326627873147,29.02699363014909,68.90370080490743,2124494291.0,Ninguno,6.25
Altas_temperaturas,Fedearroz_Ibis,Siembra_en_surco,120.0,No,Si,No,Corrido,4,95.269,33.907000000000004,58.68,2,2,1.38,18.9,5.5,FAr,2170.011667933315,22.96504774585233,30.28214325265811,61.48979477243325,8918471240.0,Quemados,4.43
Ninguno,Otro,Voleo_manual,,No,No,No,Corrido,5,157.32,27.27,27.525,3,2,1.36,19.3,5.6,FAr,689.9034328460693,23.556781652589454,31.112322027951667,58.40408241827756,2696031779.0,Incorporados,5.67
Helada,Otro,Voleo_manual,,No,No,No,Corrido,4,121.2,61.2,61.2,2,3,1.37,16.3,5.5,FAr,518.1818740367889,23.269392026703887,31.2755857796504,58.76988253100165,2119015001.0,Incorporados,3.75
Ninguno,Fedearroz_67,Trasplante_manual,,No,No,No,Corrido,4,24.0,14.4,21.2,1,3,1.32,14.3,5.2,FAr,318.4496030807495,23.4876993635059,32.11135334926363,55.58528035931882,2174937242.0,Incorporados,7.5
Altas_temperaturas,Otro,Voleo_manual,200.0,No,No,No,Inundacion,3,16.8,7.2,14.0,0,0,1.34,15.3,5.3,FAr,415.6644718647003,23.454286193847604,31.596229460745096,57.20932810234301,2463289814.0,Incorporados,4.75
