MET_SIEMBRA,CANT_SEMILLA,ORIG_SEMILLA,CABALLONEO,NIVELADO,ARADO,FERT_ORG,USO_PRON_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,FRACC_FERT,TIPO_RIEGO,HERB,INSECT,INCORP_RES,USO_BIOFERT,REDUC_REND,REND,DENS_AP,CIC,pH,N_SUELO,C_ORG_SUELO,TEXT,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,REL_HUM_PROM,SOL_RAD_ACUM
Siembra_en_surco,225,Propio_lote,3,0,0,No,No,286.25,36,96,4,Corrido,2,0,No,No,Otro,10,1.39,18.8,5.3,1.76,24.2,FAr,456.1066313,22.69449401,30.86701678,60.95622944,2605.545879
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,70.62,36.06,39.17,4,Corrido,2,1,Si,No,Otro,8.04,1.39,16.9,5.4,1.74,25.1,FAr,386.8354278,23.24850666,32.02661212,53.45964807,2340.359545
Voleo_mecanizado,200,Propio_lote,2,1,0,No,No,173.22,74,120.25,6,Corrido,2,4,No,No,Otro,5,1.36,21.2,5.6,2.41,28.6,FAr,368.8601007,23.19319153,30.47203258,63.4048825,2004.575605
Siembra_en_surco,186.3,Propio_lote,1,0,0,No,No,222,126,194,4,Corrido,2,1,Si,No,Plagas y enfermedades,5.63,1.35,15,5.3,2.07,36.4,FAr,434.8037782,22.9777385,30.36645376,64.99739789,1849.064293
Siembra_en_surco,100,Propio_lote,1,0,0,No,No,136,36,36,4,Corrido,5,5,Si,No,Plagas y enfermedades,4.38,1.35,15.3,5.3,1.95,36.3,FAr,448.0754752,23.10317887,31.0901287,61.50060941,2276.80527
Voleo_mecanizado,200,Propio_lote,1,0,0,No,No,257,54,107,5,Corrido,4,4,No,No,Otro,10.67,1.39,16.9,5.5,1.78,20.5,FAr,504.6670833,23.01487873,31.14383827,57.7770126,2383.43415
Voleo_mecanizado,200,Propio_lote,1,1,0,No,Si,239,72,106,6,Corrido,2,2,Si,No,Sequías,6.75,1.38,14.1,5.4,2.08,21,FAr,358.6763749,22.50979152,29.63635029,68.04023661,1873.544155
Voleo_mecanizado,200,Propio_lote,1,0,1,No,No,211.44,73.44,163.44,5,Corrido,4,5,No,No,Otro,8.13,1.4,19,5.5,2.05,28.4,FAr,469.9911737,22.69804931,30.20988447,61.19828539,1979.238515
Voleo_mecanizado,200,Propio_lote,1,1,0,No,No,231.5,108,108,5,Corrido,3,2,Si,No,Otro,5,1.38,17.3,5.5,1.82,26.7,FAr,439.9291072,22.55128015,30.32793871,63.97207449,2129.569704
Voleo_mecanizado,200,Propio_lote,1,0,0,Si,No,291.5,54,54,5,Corrido,2,1,Si,No,Alta temperatura,7.92,1.32,15.6,5.4,2.17,30.2,FAr,607.3837798,22.74113323,29.31971983,63.85012941,2337.508984
Voleo_mecanizado,175,Propio_lote,1,0,0,Si,No,207.55,46,28.5,5,Corrido,2,0,No,No,Otro,8.21,1.34,16.7,5.4,1.96,21.8,FAr,504.7789915,21.37618457,29.69053687,56.25706714,2437.609764
Voleo_mecanizado,200,Propio_lote,1,1,0,No,No,188.2,46,120,4,Corrido,3,2,No,No,Otro,10.27,1.3,15.4,5.4,2.36,29.8,FAr,419.8123302,21.01220984,28.40575589,57.07157979,2027.104373
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,191,36,129.5,4,Corrido,3,3,No,No,Otro,7.5,1.37,15.3,5.2,1.51,19.2,FAr,377.4305921,22.63607968,30.59786268,62.62660582,2082.553654
Voleo_mecanizado,185,Propio_lote,1,0,0,Si,Si,163.5,31.5,87,4,Corrido,3,2,Si,No,Otro,5.63,1.39,18,5.3,1.85,23.5,FAr,451.7633939,22.56482093,30.40523041,63.62128474,2217.160594
Siembra_en_surco,200,Propio_lote,1,0,0,Si,Si,119.4,45.9,75.9,4,Corrido,3,2,Si,Si,Alta temperatura,7.19,1.35,15.2,5.3,2.45,31.4,FAr,653.1286404,22.85942968,29.20911932,67.43427049,2088.805703
Siembra_en_surco,150,Propio_lote,1,0,0,No,No,138,45,103,4,Corrido,5,2,Si,No,Otro,8.13,1.35,15.2,5.3,2.45,31.4,FAr,712.8789251,22.73996455,28.79939448,69.4194967,2088.072543
Siembra_en_surco,200,Propio_lote,1,0,0,No,No,321.65,36,195,5,Corrido,4,2,No,No,Alta temperatura,7.71,1.21,15,5.3,2.31,36.4,FAr,560.5295026,23.50412045,32.48449164,50.5902243,2721.332147
Voleo_mecanizado,200,Propio_lote,1,0,0,No,No,108.88,38.88,55.88,4,Corrido,2,1,Si,No,Sequías,5,1.26,14.2,5.3,1.93,29.5,Ar,634.4020026,22.77112744,30.90782858,59.1225224,2229.576348
Voleo_mecanizado,200,Propio_lote,1,0,0,No,Si,213.75,27,95.5,4,Corrido,4,3,No,No,Otro,7.5,1.24,16.7,5.3,1.67,41.3,FAr,635.0820408,23.17505123,32.28261193,52.4140459,2350.271109
Voleo_mecanizado,200,Propio_lote,2,3,0,No,No,307.48,41.76,41.76,4,Corrido,3,4,Si,No,Alta temperatura,5.25,1.27,19.3,5.5,2.27,36.4,FAr,529.3086455,23.4225769,31.22375895,55.78464403,2254.010234
Voleo_mecanizado,200,Propio_lote,1,1,0,No,Si,208.1,36,66,5,Corrido,5,3,No,No,Alta temperatura,5,1.25,18.9,5.4,2.56,37.8,FAr,789.6591606,22.62335874,29.34517305,62.72154322,2176.714276
Voleo_mecanizado,200,Propio_lote,1,0,0,No,Si,302,54,174,5,Corrido,2,2,Si,No,Sequías,6.88,1.22,12.5,5.3,2.71,38.5,FAr,681.8951355,23.20212118,31.71499532,55.62486,2859.699107
Voleo_mecanizado,150,Propio_lote,1,1,0,Si,No,203.5,23,75,5,Corrido,4,4,Si,No,Alta temperatura,6.25,1.26,13.5,5.2,2.2,29.3,FAr,582.9184456,22.55839918,30.13094297,63.39754878,2616.590153
Voleo_mecanizado,150,Propio_lote,1,0,0,Si,No,199.72,65,64.5,6,Corrido,3,3,Si,No,Otro,5.81,1.19,20.1,5.4,2.07,51.6,FAr,527.0779159,22.9650647,31.37013965,53.18889914,2452.397656
Voleo_mecanizado,200,Propio_lote,1,1,0,No,No,172.25,72,106,5,Corrido,3,5,No,Si,Alta temperatura,5.63,1.4,18.5,5.4,1.73,26.5,FAr,618.3332601,23.06019002,31.34357259,56.8390922,2791.873136
Voleo_mecanizado,150,Semillista,1,1,0,No,No,156,27,103.5,5,Corrido,2,2,No,No,Plagas y enfermedades,6.25,1.38,16.9,5.5,1.82,25.3,FAr,290.7096596,22.95579212,31.10518916,56.46010351,1927.493272
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,117,72,89,4,Inundación,1,0,No,No,Otro,7.94,1.4,18.2,5.3,1.77,22.7,FAr,648.9004953,22.47045511,29.48841012,64.71502025,2220.98664
Siembra_en_surco,170,Propio_lote,1,1,0,Si,Si,45,45,78,4,Corrido,2,0,Si,Si,Otro,10.4,1.39,12.5,5.2,1.72,20.6,FAr,348.0638099,22.84811034,29.26533776,69.30427994,2032.093779
Siembra_en_surco,175,Propio_lote,1,1,0,No,No,128.7,27,44,2,Corrido,2,1,No,No,Alta temperatura,6.75,1.36,17.4,5.3,1.64,25.4,FAr,407.7086959,22.61794507,30.6006613,62.49087084,2326.61841
Siembra_en_surco,217,Propio_lote,1,1,0,No,No,123,81,81,4,Inundación,2,1,No,No,Otro,5.5,1.39,18.6,5.3,1.63,22.8,FAr,632.0807109,22.83240834,30.46868952,61.15691333,2417.695821
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,178.5,126,126,4,Corrido,1,0,No,No,Alta temperatura,4.88,1.41,19,5.5,2.11,33.5,FAr,503.8839769,23.30528536,31.10815582,58.26262265,2742.426774
Siembra_en_surco,160,Propio_lote,1,1,0,No,No,179.75,72,72,4,Corrido,1,0,No,No,Otro,8.45,1.41,19,5.5,2.11,33.5,FAr,162.1306543,23.48601801,31.92572661,54.01148584,2005.240947
